"filename","transcript","audio_hash","transcript_hash","vs","sp","cq","gg","aw","vs_corrected","sp_corrected","cq_corrected","gg_corrected","aw_corrected","transcript_corrected","vs_corrected_wer","sp_corrected_wer","cq_corrected_wer","gg_corrected_wer","aw_corrected_wer"
"./data/simple_test/wavs/109865_bear_ch0_16k.wav","bear","843534dfe063a3e954987eb00da2d62d","893b56e3cfe153fb770a120b83bac20c","bear","they are","beare","bear","There","bear","they are","beare","bear","There","bear","0.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109879_frog_ch0_16k.wav","frog","088556cb2657d541f340dc6fbe15855b","938c2cc0dcc05f2b68c4287040cfcf71","frog","for ah ok NOISE","forog","frog","Frog","frog","for ah ok NOISE","forog","frog","Frog","frog","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109886_ice-cream_ch0_16k.wav","ice cream","45113c5bff91edaf72aacc21b2bddd06","2d6cfc502a0f108b5f431a1e7aaac603","ice cream","ice cream","i cream","ice cream","Scream","ice cream","ice cream","i cream","ice cream","Scream","ice cream","0.0","0.0","0.5","0.0","1.0"
"./data/simple_test/wavs/109881_glass_ch0_16k.wav","glass","f34cf0af7d4f38f36a9c4e92ea2c4de9","2570c919f5ef1d7091f0f66d54dac974","glass","glass","glass","glass","Glass","glass","glass","glass","glass","Glass","glass","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109868_camera_ch0_16k.wav","camera","229dd7c7ed223ae8deb24a7bbee90ed7","dd6d2dcc679d12b9430a9787bab45b33","camera","camera","camera","camera","Camera","camera","camera","camera","camera","Camera","camera","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109869_car_ch0_16k.wav","car","6e484f8c73b4803d2c995900eb3fd927","e6d96502596d7e7887b76646c5f615d9","car","hello SPEECH","car","car","Car","car","hello SPEECH","car","car","Car","car","0.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109902_nail_ch0_16k.wav","nail","cd99f1fbbfb7342d184e523d9fb663a8","8ab8a4dfab57b4618331ffc958ebb4ec","nail","nail NOISE","nail","nail","Nail","nail","nail NOISE","nail","nail","Nail","nail","0.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109885_horse_ch0_16k.wav","horse","000c1f739c6b6a43d1a3ceb43101e876","f1bdf5ed1d7ad7ede4e3809bd35644b0","horst","horses","horse","horse","Horse","horst","horses","horse","horse","Horse","horse","1.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109920_tiger_ch0_16k.wav","tiger","91e3ca3b38adabae37af531219bb1d87","43b90920409618f188bfc6923f16b9fa","tiger","hiking","tiger","tiger","Tiger","tiger","hiking","tiger","tiger","Tiger","tiger","0.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109874_earth_ch0_16k.wav","earth","0574419d2c066d35c4ef32949c45cc08","852488ddd9570bc877783bf4397563e0","earth","earth","h","Earth","Earth","earth","earth","h","Earth","Earth","earth","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109864_apple_ch0_16k.wav","apple","882dde566cb2b0935d9e4527096a4874","1f3870be274f6c49b3e31a0c6728957f","apple","at home","aple","Apple","Apple","apple","at home","aple","Apple","Apple","apple","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109917_skateboard_ch0_16k.wav","skateboard","89e24b2a26c6b5bf25a6e2429a34a843","6231bb17f25c5717f326fb009583f818","skateboard","skateboard","skate board","skateboard","Skateboard","skateboard","skateboard","skate board","skateboard","Skateboard","skateboard","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109931_windows_ch0_16k.wav","windows","b82485a2be19a165084ff8d20217238b","0f4137ed1502b5045d6083aa258b5c42","windows","windows","windows","windows","Windows","windows","windows","windows","windows","Windows","windows","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109924_uniform_ch0_16k.wav","uniform","dbbf6378749d420c4318970738cf6354","a489ffed938ef1b9e86889bc413501ee","uniform","you know for him","youniform","uniform","Uniform","uniform","you know for him","youniform","uniform","Uniform","uniform","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109928_volcano_ch0_16k.wav","volcano","74935441d0538d6595549c71826f602a","eeef20c962e09893e39e929ca017e62d","for kaino","volcano","full cano","volcano","Volcano","for kaino","volcano","full cano","volcano","Volcano","volcano","1.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109911_quartz_ch0_16k.wav","quartz","076c226b5687a5fb4f2e453d3c8f8a86","1d419d26520cc8e553f4259d9a12402e","quartz","quartz","cuorts","forts","Quartz","quartz","quartz","cuorts","forts","Quartz","quartz","0.0","0.0","1.0","1.0","0.0"
"./data/simple_test/wavs/109916_rhinoceros_ch0_16k.wav","rhinoceros","4b395b4e765b7e8ada2cddec11093408","a564ffdbf74f280398ab5ebd27ba54fc","rhinoceros","rhinoceros","ri noseris","rhinoceros","Rhinoceros","rhinoceros","rhinoceros","ri noseris","rhinoceros","Rhinoceros","rhinoceros","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109935_yacht_ch0_16k.wav","yacht","28927e0cef022d31d32410b8abd12c6c","423fa120a21678191fc5314ea325039a","the ot","yeah SPEECH its","heoght","yacht","Yacht","the ot","yeah SPEECH its","heoght","yacht","Yacht","yacht","1.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109883_hammer_ch0_16k.wav","hammer","c05c01872a3f0ddf54e97e1e25de7894","5f9901fc60b769b523d0dd8e79b3fe08","hammer","hammer","hammer","hammer","Hammer","hammer","hammer","hammer","hammer","Hammer","hammer","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109900_mouse_ch0_16k.wav","mouse","185383b29066d9e0cc8edca395bb8974","40203abe6e81ed98cbc97cdd6ec4f144","mouse","malice","nows","Mouse","Mouse","mouse","malice","nows","Mouse","Mouse","mouse","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109904_nutshell_ch0_16k.wav","nutshell","248debcf24e8e001969164986b70bb8f","625cf4d492fe38e88f33c7ee0b4938b0","nut shell","next show SPEECH","not shell","nutshell","Nut shell","nut shell","next show SPEECH","not shell","nutshell","Nut shell","nutshell","1.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109913_question-mark_ch0_16k.wav","question mark","2044d7a8dde3f879cdd7851a8cc04fee","59b40a4df998529eb7264171ced09202","question mark","question mark","question mark","?","Question Mark","question mark","question mark","question mark","?","Question Mark","question mark","0.0","0.0","0.0","1.0","0.0"
"./data/simple_test/wavs/109922_train_ch0_16k.wav","train","f819d40b736449cbf15d1365c9fe1232","61b3a8faa9c1091806675c230a9abe64","train","train","train","train","Train","train","train","train","train","Train","train","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109932_xebec_ch0_16k.wav","xebec","909725a35537acc9a54bfbc62ea732bf","b96c5501b21beb221cdda82b6af7f017","z back","citibank","zeback","the back","Z back","z back","citibank","zeback","the back","Z back","xebec","1.0","1.0","1.0","1.0","1.0"
"./data/simple_test/wavs/109919_star_ch0_16k.wav","star","b5bcf0279c7d58ac03ca3e1461330d83","8ff953dd97c4405234a04291dee39e0b","star","star","star","star","Star","star","star","star","star","Star","star","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109870_cow_ch0_16k.wav","cow","d270d65a05705b6ff357c7569849b1c1","81566e986cf8cc685a05ac5b634af7f8","cow","town","cow","cow","How","cow","town","cow","cow","How","cow","0.0","1.0","0.0","0.0","1.0"
"./data/simple_test/wavs/109896_leaf_ch0_16k.wav","leaf","641232e9fef797458ee8a627c2fd5217","bab4ff04cc14af66e4d42c85f888cfe6","leaf","leaf SPEECH","leaf","leaf","Leave","leaf","leaf SPEECH","leaf","leaf","Leave","leaf","0.0","1.0","0.0","0.0","1.0"
"./data/simple_test/wavs/109899_mars_ch0_16k.wav","mars","531c5559f17907c952cff7d7ad04beab","68834fdcdff2a84a2844bd794aa9bcdf","mars","maurice","mars","Mars","Mars","mars","maurice","mars","Mars","Mars","mars","0.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109906_orange_ch0_16k.wav","orange","b5bc2232d56b3a2a76d8ecc4f2f38c73","fe01d67a002dfa0f3ac084298142eccd","orange","orange","ornge","Orange","Orange","orange","orange","ornge","Orange","Orange","orange","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109923_umbrella_ch0_16k.wav","umbrella","cf219218079783574da8cc05cebb2193","b74012a0fbca4af4bd29f73af7c0fffb","umbrella","umbrella","umbrella","umbrella","Umbrella","umbrella","umbrella","umbrella","umbrella","Umbrella","umbrella","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109912_queen_ch0_16k.wav","queen","076249e41cad780a19414d989c764584","72545f3f86fad045a26ed54abd2bbb9f","queen","queen","queen","Queen","Queen","queen","queen","queen","Queen","Queen","queen","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109929_waffle_ch0_16k.wav","waffle","a9a6694c2b10907cbe5038551adbc2ff","a3999be79351a17baf98e2290f84dfb9","waffle","waffle","waffl","waffle","Waffle","waffle","waffle","waffl","waffle","Waffle","waffle","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109867_butterfly_ch0_16k.wav","butterfly","66126bae283154ba55aa1c0416448abb","9fd8301ac24fb88e65d9d7cd1dd1b1ec","butterfly","butterfly","terfly","butterfly","Butterfly","butterfly","butterfly","terfly","butterfly","Butterfly","butterfly","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109937_yarn_ch0_16k.wav","yarn","98966de25d331762d8e982cad0bb6a2e","bb3462b62cd8db3f9ba007d86f8d1c6d","yarn","yeah lines","yan","yarn","Joan","yarn","yeah lines","yan","yarn","Joan","yarn","0.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109898_lion_ch0_16k.wav","lion","73bb3993593e234ca79bbbb04a71e6c1","6b42d00c4ca6ddc33a604c54b8ce4adc","lion","lie in","lion","lion","Lion","lion","lie in","lion","lion","Lion","lion","0.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109905_oars_ch0_16k.wav","oars","4048abeed546a2b8dac532b6bb1d196e","c589a112a1b341db7277ea65b5ec7bf7","worse","lawyers","or","ORS","Wars","worse","lawyers","or","ORS","Wars","oars","1.0","1.0","1.0","1.0","1.0"
"./data/simple_test/wavs/109925_union_ch0_16k.wav","union","9be14eff4c0a08c719fd9933c85b725a","aa252f7bcbb4b8379004aa0c7cf76c10","union","union","yunion","Union","Union","union","union","yunion","Union","Union","union","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109877_fire_ch0_16k.wav","fire","1c430a418ef13f726fa14d06e437b611","015f28b9df1bdd36427dd976fb73b29d","fire","fire","fire","fire","Fire","fire","fire","fire","fire","Fire","fire","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109927_violin_ch0_16k.wav","violin","17e1dcca30c315f6acffd48c8cbd4b15","baed9eee805dceb10b8701814740141d","violin","wyoming","sioin","violin","Violin","violin","wyoming","sioin","violin","Violin","violin","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109918_spoon_ch0_16k.wav","spoon","e2f5ac7c431050ecaf1b155d2cfed40a","4b8e23084e0f4d55a47102da363ef90c","spoon","spoon","spoon","spoon","Spoon","spoon","spoon","spoon","spoon","Spoon","spoon","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109894_key_ch0_16k.wav","key","2199b263393be17a0eb6dd4dde27cf5f","3c6e0b8a9c15224a8228b9a98ca1531d","key","key","key","key","Key","key","key","key","key","Key","key","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109863_ant_ch0_16k.wav","ant","f6e2cb7a274d16ce64af4fb98ea3168e","63b07e828bf016e976ff95d6ee07a105","yet","and","ant","aunt","Yet","yet","and","ant","aunt","Yet","ant","1.0","1.0","0.0","1.0","1.0"
"./data/simple_test/wavs/109884_helicopter_ch0_16k.wav","helicopter","7f74959139c1ade7ed37e4d8fe04d888","e29e13ac702a77bcd28a4463a211eba4","helicopter","helicopter","helocopter","helicopter","Helicopter","helicopter","helicopter","helocopter","helicopter","Helicopter","helicopter","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109933_xiphias_ch0_16k.wav","xiphias","4ff4c18041e5faeb7edeba5d906ccb49","1483cace41ee2928c41c607de3a226e4","z fierce","fifty s","sif hes","xiphias","Ziff Ius","z fierce","fifty s","sif hes","xiphias","Ziff Ius","xiphias","1.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109888_iron_ch0_16k.wav","iron","de51801c4f5cd676d7be8d38ccf01c06","bcd31c714bca2c41ffca31bd03003311","iron","i am and","arn","iron","Iron","iron","i am and","arn","iron","Iron","iron","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109936_yak_ch0_16k.wav","yak","a276f5c7713a6685da19b2096cfbe406","425a226eb69a5e2480230f9b53a09a98","yak","yeah","yeh","yak","Jack","yak","yeah","yeh","yak","Jack","yak","0.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109897_lemon_ch0_16k.wav","lemon","011109e9603133217e2c635303ab1429","3f24e567591e9cbab2a7d2f1f748a1d4","men","lenin","lemon","lemon","Lemon","men","lenin","lemon","lemon","Lemon","lemon","1.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109875_egg_ch0_16k.wav","egg","ebebe4e86fa94b6e40549995fc728868","0e9312087f58f367d001ec9bae8f325a","a good","a p","a","egg","Big","a good","a p","a","egg","Big","egg","1.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109921_tomato_ch0_16k.wav","tomato","d0d48200e82e7b7d9b5c701fece0db2e","006f87892f47ef9aa60fa5ed01a440fb","tomato","tomato SPEECH","to mateo","tomato","Tomato","tomato","tomato SPEECH","to mateo","tomato","Tomato","tomato","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109907_owl_ch0_16k.wav","owl","a6dc5b87d7021cfc8381718129ec4319","50f8b6c98b0f9a271a562632405ae63d","our","now on","ou","owl","How will","our","now on","ou","owl","How will","owl","1.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109873_duck_ch0_16k.wav","duck","81c7111d9fbc7dbaba78f3a64c1bfba6","36846677e3a8f4c0b16d8bdf8ef18608","duck","doc","","duck","Duck","duck","doc","","duck","Duck","duck","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109862_airplane_ch0_16k.wav","airplane","4e35007a425552f4e9aac974fc80523b","45ea37a8b034ece4d08639d18d913ad0","airplane","airplane","plane","airplane","Airplane","airplane","airplane","plane","airplane","Airplane","airplane","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109940_zucchini_ch0_16k.wav","zucchini","9ce549b650d344ecc27b75d4d1abdb0a","4ff258784836201af40c76e8eab23a99","zucchini","zucchini","sux keny","zucchini","Zucchini","zucchini","zucchini","sux keny","zucchini","Zucchini","zucchini","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109889_jacket_ch0_16k.wav","jacket","cb436409c4ebca4c69cd84a1a8bdcdfd","f4ebf8a096b6deffc44d73b12989ef91","jacket","jackets","jacket","jackets","Jacket","jacket","jackets","jacket","jackets","Jacket","jacket","0.0","1.0","0.0","1.0","0.0"
"./data/simple_test/wavs/109880_galaxy_ch0_16k.wav","galaxy","460512a3321801d4fdb366bcfb620d9e","e03239b27e34a5f7f3bde739459dd537","galaxy","galaxy","","Galaxy","Galaxy","galaxy","galaxy","","Galaxy","Galaxy","galaxy","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109910_pig_ch0_16k.wav","pig","1e1cf1b2ec7abc3e867222d4e5d1c0f4","f74c6af46a78becb2f1bd3f95bbd5858","peak","panic","pick","Pig","Take","peak","panic","pick","Pig","Take","pig","1.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109882_glove_ch0_16k.wav","glove","775a2e458aff3cc886c12cd4e4dd2ba5","ea9e801b0d806f2398bd0c7fe3f3f0cd","love","i love NOISE","love","glove","Love","love","i love NOISE","love","glove","Love","glove","1.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109930_wallet_ch0_16k.wav","wallet","674e485cd11b45ec30de4d2963b71560","402c5a6fe4c04c7d269c4532baecc8ee","wallet","was it","wallet","wallet","Wallet","wallet","was it","wallet","wallet","Wallet","wallet","0.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109915_rain_ch0_16k.wav","rain","cab790100f84cf67ff22c4037f19ced8","23678db5efde9ab46bce8c23a6d91b50","mean","maine","rain","rain","Rain","mean","maine","rain","rain","Rain","rain","1.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109938_zebra_ch0_16k.wav","zebra","057c55c4ba5d7a0d367d1914dc3d9faa","69c459dd76c6198f72f0c20ddd3c9447","zebra","zebra","zebra","zebra","Zebra","zebra","zebra","zebra","zebra","Zebra","zebra","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109893_kayak_ch0_16k.wav","kayak","2bb6f17cdba8cc5e0af92fcfe3262361","1a528bb096164775b3cc347ca7293fe6","kayak","kayak","kayk","kayak","Kayak","kayak","kayak","kayk","kayak","Kayak","kayak","0.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109887_igloo_ch0_16k.wav","igloo","0f77876100f2a748e20a5e7f36be6266","2678407a7a56eb8697229e6d1f358f68","the glue","a clue","lue","igloo","Igloo","the glue","a clue","lue","igloo","Igloo","igloo","1.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109926_video-camera_ch0_16k.wav","video camera","bb25dac99913f54949ed6fd39d178baa","b0c8eb1b661e8f1ebb25720e1e2b139e","video camera","video camera","fideo camera","video camera","Video camera","video camera","video camera","fideo camera","video camera","Video camera","video camera","0.0","0.0","0.5","0.0","0.0"
"./data/simple_test/wavs/109939_zero2_ch0_16k.wav","zero","6cbfd46c2c972427578a6acd607ee8ca","d02c4c4cde7ae76252540d116a40f23a","zero","zero","zero","0","Zero","zero","zero","zero","zero","Zero","zero","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109914_rabbit_ch0_16k.wav","rabbit","4318d4a9703e2781be6df92122b83d48","a51e47f646375ab6bf5dd2c42d3e6181","rabbit","maggots","rabbit","rabbit","Rabbit","rabbit","maggots","rabbit","rabbit","Rabbit","rabbit","0.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109866_boat_ch0_16k.wav","boat","ffedfe340582759a4f661406d56d7860","dd8fc45d87f91c6f9a9f43a3f355a94a","boat","boat","o","boats","Vote","boat","boat","o","boats","Vote","boat","0.0","0.0","1.0","1.0","1.0"
"./data/simple_test/wavs/109872_dog_ch0_16k.wav","dog","fd69342c364e9d836b4b3b0231a078e6","06d80eb0c50b49a509b49f2424e8c805","dog","dog","dog","dog","Dog","dog","dog","dog","dog","Dog","dog","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109934_xylophone_ch0_16k.wav","xylophone","1e90197290f4a95818c7437c069e7924","45af7e81c39df4e6eba3b09e18ab4112","xylophone","silent SPEECH","zi o phone","xylophone","Xylophone","xylophone","silent SPEECH","zi o phone","xylophone","Xylophone","xylophone","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109909_pen_ch0_16k.wav","pen","7c3cc5d3c8b11b2278fc87e67482959e","03f00e8e9d0d0847bb10a3a22334274a","penn","palin","pen","pain","Pen","penn","palin","pen","pain","Pen","pen","1.0","1.0","0.0","1.0","0.0"
"./data/simple_test/wavs/109895_king_ch0_16k.wav","king","ceefd703dde4c8f286cfd3f0e4da10ad","b2086154f101464aab3328ba7e060deb","king","king","king","King","King","king","king","king","King","King","king","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109876_elephant_ch0_16k.wav","elephant","46119d81f5d37809811e8bc460a6c5e2","e4b48fd541b3dcb99cababc87c2ee88f","elephant","elephants","ant","elephant","Elephant","elephant","elephants","ant","elephant","Elephant","elephant","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109892_juice_ch0_16k.wav","juice","bdf6833a65e62b8278e0ba38dde84664","57f7e96f370e04546066ee921424c760","juice","she reads the","hoose","shoes","Juice","juice","she reads the","hoose","shoes","Juice","juice","0.0","1.0","1.0","1.0","0.0"
"./data/simple_test/wavs/109871_daisy_ch0_16k.wav","daisy","2321c69a2f529542632cd7ac25bf7b9d","df4b892324bbb648f27734b55c206b4b","daisy","daisy","y","Daisy","Easy","daisy","daisy","y","Daisy","Easy","daisy","0.0","0.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109903_neptune_ch0_16k.wav","neptune","f00b9f5837d61f7bb05d84fa10d700b5","5060341c21f82c70e928bceed3d45419","neptune","neptune","neptune","Neptune","Neptune","neptune","neptune","neptune","Neptune","Neptune","neptune","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109878_fork_ch0_16k.wav","fork","a5a18642bf3b995a1ccc7148c43bcba5","b2fcb4ba898f479790076dbd5daa133f","for","fork","for","Fork","Fork","for","fork","for","Fork","Fork","fork","1.0","0.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109890_jaguar_ch0_16k.wav","jaguar","81c937ac081877347730087c6121365a","b94705c817b09f287e31606604e526ba","jag you are","jake you are","jakyu are","Jaguar","Shake. You are","jag you are","jake you are","jakyu are","Jaguar","Shake. You are","jaguar","1.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109901_mushroom_ch0_16k.wav","mushroom","796d2cff0b4dc8085ed2da9f3496978d","4e026537a7d32360c5a22b7cb2e7f61a","mushroom","mushroom","mushroom","mushroom","Mushroom","mushroom","mushroom","mushroom","mushroom","Mushroom","mushroom","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109908_paint_ch0_16k.wav","paint","0a391b0a9f9778743cfcc99a08a14cb3","c1940aeeb9693a02e28c52eb85ce261c","paint","paint","paint","paint","Paint","paint","paint","paint","paint","Paint","paint","0.0","0.0","0.0","0.0","0.0"
